"","subtype","ACTR3B","ANLN","BAG1","BCL2","BIRC5","BLVRA","CCNB1","CCNE1","CDC20","CDC6","CDCA1","CDH3","CENPF","CEP55","CXXC5","EGFR","ERBB2","ESR1","EXO1","FGFR4","FOXA1","FOXC1","GPR160","GRB7","KIF2C","KNTC2","KRT14","KRT17","KRT5","MAPT","MDM2","MELK","MIA","MKI67","MLPH","MMP11","MYBL2","MYC","NAT1","ORC6L","PGR","PHGDH","PTTG1","RRM2","SFRP1","SLC39A6","TMEM45B","TYMS","UBE2C","UBE2T"
"Normal.Breast.10","Normal",-1.151,-3.736,0.26,1.3,-2.86,-0.569,-2.981,-1.962,-1.28,-2.649,-4.614,1.833,-1.853,-4.33,0.076,0.091,0.489,-0.373,-2.145,-0.04,0.333,0.905,-0.813,0.961,-2.248,-3.64,3.042,2.364,2.493,0.334,1.231,-2.454,2.282,-1.76,1.914,-0.094,-2.296,-0.591,0.814,-2.272,0.794,-1.027,-2.65,-3.928,3.106,-1.138,-2.093,-4.36,-1.448,"-3.382"
"Normal.Breast.2","Normal",-0.485,-3.739,0.591,1.58,-3.25,-0.533,-2.935,-1.086,-1.712,-2.758,-1.929,1.767,-2.179,-3.54,0.653,-0.19,0.364,1.953,-3.007,-0.01,1.215,-0.101,0.173,1.003,-1.284,-4.101,3.374,2.044,1.238,-0.014,0.506,-2.737,3.939,-1.45,1.646,-0.085,-2.802,-0.392,1.857,-2.534,1.386,-0.988,-2.386,-4.659,3.669,0.048,-0.933,-4.05,-2.615,"-2.746"
"Normal.Breast.3","Normal",0.298,-2.848,0.359,1.292,-2.493,-0.687,-2.81,-1.194,-1.084,-2.534,-1.235,1.478,-1.814,-2.89,0.071,0.25,0.509,0.79,-2.008,0.06,1.205,1.649,-0.348,0.938,-1.322,-2.741,3.041,1.526,2.253,0.34,1.023,-2.416,1.686,-1.31,1.812,-0.526,-2.303,0.336,-0.061,-2.526,0.428,-0.729,-1.658,-3.77,3.268,-0.796,-1.909,-2.86,-0.708,"-2.744"
"Normal.Breast.4.Custom","Normal",1.153,-4.717,0.098,1.954,-3.237,-0.535,-3.558,-2.185,-1.774,-3.892,-3.466,1.236,-2.067,-4.78,-0.354,0.037,0.607,-0.414,-3.299,-0.69,-3.417,1.926,-1.49,1.154,-2.91,-3.921,3.234,1.701,1.333,0.433,0.449,-3.819,0.909,-2.24,2.697,-0.932,-2.894,-0.799,-0.906,-3.021,0.638,-0.543,-2.828,-4.536,3.35,-2.167,-3.274,-4.12,-2.065,"-3.742"
"Normal.Breast.7","Normal",-0.287,-3.681,0.441,1.911,-2.156,-0.965,-2.869,-1.129,-1.43,-3.362,-2.108,1.256,-2.56,-3.29,-0.148,-0.278,0.761,-0.488,-3.052,0.49,1.005,0.233,0.22,1.158,-1.284,-3.58,2.978,1.21,1.422,-0.109,0.794,-2.796,2.449,-1.49,2.113,-0.5,-2.41,-0.202,0.266,-2.379,1.413,-1.07,-2.248,-3.798,3.175,-1.054,-0.597,-3.8,-1.847,"-2.575"
"Normal.Breast.9.Custom","Normal",1.082,-4.544,0.037,0.814,-3.807,-0.562,-3.406,-1.989,-2.53,-4.426,-3.408,1.63,-2.315,-4.6,-0.017,0.097,0.862,0.613,-3.681,-1.35,-0.372,0.901,-0.332,0.887,-3.193,-4.025,3.201,1.228,1.179,0.189,-0.267,-3.738,2.219,-2.45,1.396,-0.602,-3.241,0.347,-0.192,-3.832,0.755,-0.754,-3.064,-4.644,3.749,-0.814,-2.717,-3.53,-2.294,"-3.326"
"Normal.Str574.100.","Normal",0.691,-4.386,-0.141,0.386,-3.656,-0.733,-2.854,-0.97,-2.377,-2.822,-3.261,1.311,-1.127,-3.68,0.265,0.229,0.237,0.155,-2.452,-0.28,0.222,1.506,-0.23,0.59,-2.04,-3.721,2.784,1.231,1.417,0.064,-0.402,-2.723,1.996,-2.02,0.838,-0.133,-2.826,0.445,-0.319,-2.527,0.063,-0.859,-2.821,-4.051,3.555,0.088,-2.004,-3.96,-1.686,"-3.158"
"normalbreast.BR05.0865A","Normal",1.136,-3.354,0.247,0.454,-3.747,0.121,-2.586,-1.676,-1.647,-3.227,-3.344,1.696,-2.288,-4.8,-0.946,0.463,0.118,1.166,-2.488,-0.94,0.269,1.546,-0.227,0.496,-2.955,-3.374,1.916,1.675,1.746,0.42,-0.093,-3.051,1.745,-2.01,1.306,-0.885,-3.173,-0.049,0.048,-3.039,0.023,-1.163,-2.752,-4.331,2.787,-0.552,-2.38,-4.25,-1.781,"-3.197"
"H1A7411.0084.C","Basal",0.863,-0.803,-1.03,0.837,-0.585,-1.6,-1.469,-0.701,0.775,-2.042,-0.929,1.947,-0.047,-1.14,-1.181,-0.242,1.79,-3.919,-0.711,-1.543,-3.286,3.29,-0.314,0.488,0.435,-0.189,3.873,2.256,2.828,0.042,0.449,-1.478,4.449,0.839,0.715,4.078,0.303,-2.323,-0.696,-1.827,0.009,0.031,-0.879,-1.809,2.033,-2.738,-3.039,-1.63,0.216,"-1.257"
"H1A7411.0111.C","Basal",1.132,-0.72,-0.86,0.599,-0.853,-0.251,-0.786,0.161,-0.382,-1.851,0.045,-0.224,0.169,-0.79,-0.321,3.265,1.141,-3.169,-0.871,-1.386,-4.225,1.7,-1.174,0.497,-0.527,-0.236,0.358,1.736,0.033,-0.551,0.1,-0.885,-2.377,-0.446,0.837,3.241,-0.133,0.574,-0.984,-1.548,-0.119,-0.173,-0.601,-2.542,-1.8,-2.535,-1.825,-1.15,0.282,"0.008"
